ID,Catégorie,Horodate,vers sortie,vers entrée
1,VL,2022/10/10 11:00:38.383,x,
4,VL,2022/10/10 11:01:22.850,x,
5,UT,2022/10/10 11:01:31.750,x,
7,UT,2022/10/10 11:01:46.683,x,
8,UT,2022/10/10 11:04:02.150,,x
9,VL,2022/10/10 11:05:17.850,x,
20,VL,2022/10/10 11:08:46.817,x,
22,UT,2022/10/10 11:11:01.833,,x
23,UT,2022/10/10 11:11:04.599,,x
24,VL,2022/10/10 11:11:10.200,,x
36,VL,2022/10/10 11:11:56.647,,x
38,VL,2022/10/10 11:11:58.715,,x
48,UT,2022/10/10 11:14:24.583,x,
53,VL,2022/10/10 11:15:16.197,,x
55,UT,2022/10/10 11:15:39.482,,x
57,VL,2022/10/10 11:16:15.750,x,
58,VL,2022/10/10 11:16:51.616,,x
59,UT,2022/10/10 11:18:01.483,,x
61,VL,2022/10/10 11:18:14.781,,x
62,VL,2022/10/10 11:19:04.400,,x
64,VL,2022/10/10 11:20:51.034,x,
65,PL_1,2022/10/10 11:21:42.264,,x
67,VL,2022/10/10 11:22:18.781,x,
73,VELO,2022/10/10 11:22:40.901,,x
74,UT,2022/10/10 11:22:56.298,,x
75,UT,2022/10/10 11:23:00.632,,x
76,VL,2022/10/10 11:23:10.684,,x
78,UT,2022/10/10 11:23:37.132,,x
80,VL,2022/10/10 11:23:50.599,,x
82,UT,2022/10/10 11:24:02.882,x,
83,VL,2022/10/10 11:24:08.549,,x
84,VL,2022/10/10 11:24:14.347,x,
86,UT,2022/10/10 11:25:06.751,x,
89,UT,2022/10/10 11:27:05.599,,x
90,UT,2022/10/10 11:30:01.266,,x
94,UT,2022/10/10 11:31:44.015,,x
95,UT,2022/10/10 11:31:55.298,x,
103,UT,2022/10/10 11:34:35.063,,x
104,VELO,2022/10/10 11:35:04.364,,x
108,VL,2022/10/10 11:36:06.148,,x
110,VL,2022/10/10 11:38:34.681,,x
111,VL,2022/10/10 11:38:50.366,x,
116,UT,2022/10/10 11:43:48.666,,x
118,VL,2022/10/10 11:43:52.685,,x
