SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,3,1500,2245,V=029,S=0432,VL
2,3,1500,2463,V=033,S=0318,VL
2,3,1500,2953,V=038,S=0399,VL
2,3,1500,3180,V=043,S=0447,VL
2,3,1500,3477,V=041,S=0408,VL
2,3,1500,4147,V=036,S=0401,VL
2,3,1500,4586,V=037,S=0510,VL
2,3,1500,4997,V=032,S=0446,VL
2,3,1500,5173,V=034,S=0431,VL
2,3,1500,5635,V=030,S=0404,VL
2,3,1500,5830,V=034,S=0461,VL
2,3,1501,726,V=036,S=0505,VL
2,3,1501,1399,V=041,S=0441,VL
2,3,1501,1759,V=043,S=0440,VL
2,3,1501,3539,V=041,S=0434,VL
2,3,1501,4021,V=051,S=0419,VL
2,3,1502,484,V=036,S=0467,VL
2,3,1502,678,V=038,S=0410,VL
2,3,1502,783,V=039,S=0218,VL
2,3,1502,1532,V=035,S=0412,VL
2,3,1502,3065,V=038,S=0433,VL
2,3,1502,3744,V=043,S=0482,VL
2,3,1502,4170,V=046,S=0301,VL
2,3,1502,4393,V=044,S=0454,VL
2,3,1502,5434,V=037,S=0484,VL
2,3,1503,153,V=037,S=0401,VL
2,3,1503,1019,V=042,S=0485,VL
2,3,1503,3253,V=044,S=0398,VL
2,3,1503,5019,V=030,S=1038,PL
2,3,1503,5264,V=031,S=1750,PL
2,3,1503,5535,V=026,S=0409,VL
2,3,1504,1079,V=035,S=0425,VL
2,3,1504,2395,V=043,S=0440,VL
2,3,1504,3598,V=038,S=0469,VL
2,3,1504,3796,V=041,S=0437,VL
2,3,1504,5686,V=041,S=0465,VL
2,3,1505,1175,V=024,S=0485,VL
2,3,1505,1505,V=033,S=0191,2R
2,3,1505,1657,V=037,S=0739,VL
2,3,1505,1841,V=034,S=0353,VL
2,3,1505,2633,V=028,S=0399,VL
2,3,1505,2745,V=029,S=0417,VL
2,3,1505,2892,V=032,S=0498,VL
2,3,1505,4085,V=028,S=0405,VL
2,3,1505,4378,V=029,S=0789,VL
2,3,1505,4546,V=034,S=0528,VL
2,3,1505,4823,V=032,S=0464,VL
2,3,1505,5138,V=032,S=0399,VL
2,3,1505,5438,V=015,S=0474,VL
2,3,1505,5670,V=010,S=0487,VL
2,3,1506,597,V=041,S=0315,VL
2,3,1506,726,V=044,S=0733,VL
2,3,1506,2142,V=045,S=0423,VL
2,3,1506,3241,V=052,S=0476,VL
2,3,1506,3651,V=044,S=0423,VL
2,3,1506,4915,V=036,S=0422,VL
2,3,1507,1346,V=037,S=0403,VL
2,3,1507,4351,V=041,S=0520,VL
2,3,1507,5473,V=042,S=0545,VL
2,3,1508,221,V=030,S=0426,VL
2,3,1508,1592,V=041,S=0442,VL
2,3,1508,1708,V=042,S=0247,VL
2,3,1508,4476,V=035,S=0386,VL
2,3,1508,4919,V=023,S=0498,VL
2,3,1508,5277,V=030,S=0405,VL
2,3,1508,5452,V=037,S=0403,VL
2,3,1509,990,V=034,S=0402,VL
2,3,1509,1381,V=035,S=0379,VL
2,3,1509,4672,V=035,S=0426,VL
2,3,1509,5026,V=037,S=0467,VL
2,3,1510,1142,V=029,S=0365,VL
2,3,1510,1476,V=037,S=0425,VL
2,3,1510,2528,V=023,S=0381,VL
2,3,1510,3060,V=033,S=0472,VL
2,3,1510,3182,V=034,S=0521,VL
