ID,Catégorie,Horodate,détection de départ,détection de sortie,REMARQUE
0,VL,2022/10/06 14:30:00.450,E,S2,
21,VL,2022/10/06 14:31:18.648,E,S2,
22,VL,2022/10/06 14:31:22.447,E,S2,
25,VL,2022/10/06 14:31:59.513,E,S2,
36,VL,2022/10/06 14:32:11.913,E,S2,
74,VL,2022/10/06 14:34:38.195,E,S2,
84,VL,2022/10/06 14:34:50.198,E,S2,
88,VL,2022/10/06 14:35:00.265,E,S2,
93,VL,2022/10/06 14:35:09.730,E,S2,
127,VL,2022/10/06 14:35:33.132,E,S2,
138,VL,2022/10/06 14:37:27.697,E,S2,
142,VL,2022/10/06 14:37:30.164,E,S2,
180,UT,2022/10/06 14:39:16.981,S2,E,
218,VL,2022/10/06 14:40:47.396,S2,S1,
222,MOTO,2022/10/06 14:40:54.796,S1,S2,
228,VL,2022/10/06 14:41:07.665,S2,E,
237,VL,2022/10/06 14:41:33.680,E,S2,
238,VL,2022/10/06 14:41:39.613,S2,E,
239,VL,2022/10/06 14:41:48.747,E,S2,
246,VL,2022/10/06 14:42:17.746,E,S2,
268,VL,2022/10/06 14:43:10.415,E,S2,
269,VL,2022/10/06 14:43:17.347,E,S2,
276,VL,2022/10/06 14:43:57.148,E,S2,
277,VL,2022/10/06 14:44:04.414,S2,E,
285,VL,2022/10/06 14:44:24.547,E,S2,
297,VL,2022/10/06 14:44:39.280,S2,E,
307,MOTO,2022/10/06 14:44:54.080,E,S2,
318,VL,2022/10/06 14:45:14.880,E,S2,
325,VL,2022/10/06 14:45:28.213,E,S2,
326,VL,2022/10/06 14:45:34.346,E,S2,
342,VL,2022/10/06 14:45:56.450,S2,E,
346,VL,2022/10/06 14:46:19.047,E,S2,
348,VL,2022/10/06 14:46:24.046,S2,E,
369,VL,2022/10/06 14:46:48.313,E,S2,
476,MOTO,2022/10/06 14:48:18.646,S2,E,
477,VL,2022/10/06 14:48:22.848,E,S2,
478,VL,2022/10/06 14:48:29.200,E,S2,
484,VL,2022/10/06 14:48:40.949,S2,E,
