Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
15/10/22,21:1,52,34,44,VL,1,268,,,,
15/10/22,21:4,55,26,72,2RM,13,142,,,,
15/10/22,21:5,53,72,40,VL,1,231,,,,
15/10/22,21:8,50,75,38,Bus articul�,14,516,684,,,
15/10/22,21:9,21,23,53,VL,1,280,,,,
15/10/22,21:10,23,69,46,VL,1,270,,,,
15/10/22,21:10,53,86,43,VL,1,256,,,,
15/10/22,21:14,34,3,55,VL,1,258,,,,
15/10/22,21:15,32,72,36,VL,1,283,,,,
15/10/22,21:16,39,76,49,VL,1,270,,,,
15/10/22,21:17,4,11,52,VL,1,295,,,,
15/10/22,21:17,33,45,39,VL,1,244,,,,
15/10/22,21:19,25,86,46,VL,1,257,,,,
15/10/22,21:20,13,78,40,VL,1,271,,,,
15/10/22,21:21,23,47,39,VL,1,256,,,,
15/10/22,21:22,18,45,44,VL,1,256,,,,
15/10/22,21:25,10,87,45,VL,1,245,,,,
15/10/22,21:25,54,28,54,VL,1,259,,,,
15/10/22,21:30,25,98,39,VL,1,256,,,,
15/10/22,21:31,16,75,43,VL,1,242,,,,
15/10/22,21:31,59,67,54,VL,1,231,,,,
15/10/22,21:32,1,24,34,VL,1,270,,,,
15/10/22,21:32,2,65,49,VL,1,268,,,,
15/10/22,21:35,43,37,38,Bus articul�,14,537,666,,,
15/10/22,21:38,37,52,35,VL,1,257,,,,
15/10/22,21:41,17,11,38,VL,1,243,,,,
15/10/22,21:44,6,79,34,VL,1,257,,,,
15/10/22,21:46,10,3,52,VL,1,232,,,,
15/10/22,21:47,39,10,45,VL,1,256,,,,
15/10/22,21:47,43,37,39,VL,1,270,,,,
15/10/22,21:48,21,36,49,2RM,13,128,,,,
15/10/22,21:49,25,90,47,VL,1,243,,,,
15/10/22,21:49,47,45,57,VL,1,242,,,,
15/10/22,21:50,30,51,46,VL,1,270,,,,
15/10/22,21:51,57,85,24,VL,1,257,,,,
15/10/22,21:54,30,21,37,VL,1,242,,,,
15/10/22,21:57,51,32,46,VL,1,270,,,,
15/10/22,21:57,54,19,46,VL,1,256,,,,
15/10/22,22:3,1,31,40,Bus articul�,14,516,671,,,
15/10/22,22:8,55,67,48,VL,1,282,,,,
15/10/22,22:9,34,44,44,VL,1,269,,,,
15/10/22,22:12,27,68,45,VL,1,269,,,,
15/10/22,22:17,14,66,41,VL,1,283,,,,
15/10/22,22:20,53,55,43,VL,1,270,,,,
15/10/22,22:22,37,74,45,VL,1,243,,,,
15/10/22,22:23,31,45,42,2RM,13,128,,,,
15/10/22,22:24,25,64,40,VL,1,243,,,,
15/10/22,22:28,14,31,42,VL,1,256,,,,
15/10/22,22:35,46,25,48,VL,1,231,,,,
15/10/22,22:35,59,96,49,Bus articul�,14,539,679,,,
15/10/22,22:37,18,25,37,VL,1,243,,,,
15/10/22,22:37,20,16,39,VL,1,255,,,,
15/10/22,22:42,51,83,47,VL,1,257,,,,
15/10/22,22:43,46,36,32,VL,1,269,,,,
15/10/22,22:44,44,13,61,VL,1,269,,,,
15/10/22,22:49,12,61,47,2RM,13,114,,,,
15/10/22,22:51,26,87,57,VL,1,244,,,,
15/10/22,22:51,35,43,40,VL,1,269,,,,
15/10/22,22:51,36,72,40,VL,1,243,,,,
15/10/22,22:52,46,8,52,VL,1,257,,,,
15/10/22,22:53,8,67,53,VL,1,270,,,,
15/10/22,22:55,7,47,37,VL,1,244,,,,
15/10/22,22:58,57,36,41,VL,1,258,,,,
15/10/22,22:59,43,66,39,VL,1,270,,,,
15/10/22,23:4,50,59,52,VL,1,256,,,,
15/10/22,23:4,58,35,42,VL,1,256,,,,
15/10/22,23:5,25,9,49,VL,1,268,,,,
15/10/22,23:8,25,33,52,VL,1,243,,,,
15/10/22,23:10,20,6,34,VL,1,242,,,,
15/10/22,23:10,50,36,54,VL,1,242,,,,
15/10/22,23:14,11,75,39,VL,1,230,,,,
15/10/22,23:14,34,26,34,VL,1,258,,,,
15/10/22,23:19,32,2,45,VL,1,257,,,,
15/10/22,23:22,57,59,38,VL,1,257,,,,
15/10/22,23:24,42,67,35,VL,1,229,,,,
15/10/22,23:27,4,27,33,VL,1,243,,,,
15/10/22,23:27,57,19,49,VL,1,243,,,,
15/10/22,23:28,42,30,55,VL,1,309,,,,
15/10/22,23:31,43,25,47,VL,1,257,,,,
15/10/22,23:33,10,87,34,VL,1,271,,,,
15/10/22,23:34,19,58,48,VL,1,281,,,,
15/10/22,23:41,25,3,35,VL,1,257,,,,
15/10/22,23:44,3,71,51,VL,1,245,,,,
15/10/22,23:45,0,88,55,VL,1,255,,,,
15/10/22,23:50,25,68,60,VL,1,257,,,,
15/10/22,23:50,34,36,55,VL,1,258,,,,
15/10/22,23:51,40,54,49,VL,1,256,,,,
15/10/22,23:53,53,45,64,VL,1,283,,,,
16/10/22,0:2,27,57,47,VL,1,269,,,,
