Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
18/10/22,17:1,13,62,59,VL,1,244,,,,
18/10/22,17:1,15,48,56,VL,1,257,,,,
18/10/22,17:1,34,40,40,Bus,2,616,,,,
18/10/22,17:1,39,35,41,Bus articul�,14,552,694,,,
18/10/22,17:1,43,64,36,VL,1,256,,,,
18/10/22,17:1,49,18,39,VL,1,268,,,,
18/10/22,17:1,50,95,38,VL,1,283,,,,
18/10/22,17:1,53,0,39,VL,1,307,,,,
18/10/22,17:1,57,22,43,VL,1,242,,,,
18/10/22,17:2,3,69,46,2RM,13,154,,,,
18/10/22,17:2,57,30,43,VL,1,281,,,,
18/10/22,17:3,19,80,44,VL,1,256,,,,
18/10/22,17:3,21,59,40,VL,1,256,,,,
18/10/22,17:3,26,4,34,VL,1,255,,,,
18/10/22,17:3,28,60,36,VL,1,255,,,,
18/10/22,17:3,47,67,46,VL,1,244,,,,
18/10/22,17:4,8,74,41,VL,1,230,,,,
18/10/22,17:4,10,51,41,VL,1,255,,,,
18/10/22,17:4,13,40,49,2RM,13,128,,,,
18/10/22,17:5,7,66,44,VL,1,371,,,,
18/10/22,17:5,9,45,43,VL,1,271,,,,
18/10/22,17:5,24,13,49,VL,1,257,,,,
18/10/22,17:5,47,70,49,VL,1,258,,,,
18/10/22,17:6,27,93,46,VL,1,269,,,,
18/10/22,17:6,30,24,56,VL,1,268,,,,
18/10/22,17:7,10,86,44,VL,1,258,,,,
18/10/22,17:7,21,26,48,VL,1,269,,,,
18/10/22,17:7,30,25,43,VL,1,280,,,,
18/10/22,17:7,32,86,41,VL,1,244,,,,
18/10/22,17:7,36,56,48,VL,1,244,,,,
18/10/22,17:7,42,19,42,VL,1,255,,,,
18/10/22,17:7,49,46,46,VL,1,268,,,,
18/10/22,17:7,59,44,50,VL,1,256,,,,
18/10/22,17:8,14,25,48,VL,1,257,,,,
18/10/22,17:8,18,31,42,VL,1,257,,,,
18/10/22,17:8,30,21,44,VL,1,269,,,,
18/10/22,17:8,40,11,25,VL,1,282,,,,
18/10/22,17:8,42,25,32,VL,1,256,,,,
18/10/22,17:8,43,90,30,VL,1,255,,,,
18/10/22,17:8,51,6,47,VL,1,255,,,,
18/10/22,17:9,1,25,47,VL,1,255,,,,
18/10/22,17:9,6,57,46,VL,1,244,,,,
18/10/22,17:9,28,3,41,VL,1,191,,,,
18/10/22,17:9,28,74,35,VL,1,257,,,,
18/10/22,17:9,32,33,34,VL,1,231,,,,
18/10/22,17:9,33,41,33,VL,1,271,,,,
18/10/22,17:9,51,11,39,VL,2,438,,,,
18/10/22,17:9,53,66,37,VL,1,242,,,,
18/10/22,17:9,55,27,39,VL,1,243,,,,
18/10/22,17:10,3,25,21,V�lo �lectrique,13,102,,,,
18/10/22,17:10,12,16,54,VL,1,268,,,,
18/10/22,17:10,14,47,50,VL,1,269,,,,
18/10/22,17:10,23,46,36,VL,1,257,,,,
18/10/22,17:10,24,86,35,VL,1,269,,,,
18/10/22,17:10,26,9,34,VL,1,335,,,,
18/10/22,17:10,37,11,35,Bus articul�,14,553,696,,,
18/10/22,17:10,42,48,20,VL,1,294,,,,
18/10/22,17:10,46,29,13,VL,1,294,,,,
18/10/22,17:11,2,75,39,VL,1,270,,,,
18/10/22,17:11,21,7,52,VL,1,283,,,,
18/10/22,17:11,35,56,40,VL,1,192,,,,
18/10/22,17:11,37,64,47,VL,1,255,,,,
18/10/22,17:11,40,81,60,VL,1,256,,,,
18/10/22,17:11,51,35,48,VL,1,244,,,,
18/10/22,17:12,7,25,39,VL,1,258,,,,
18/10/22,17:12,12,52,42,VL,1,284,,,,
18/10/22,17:12,24,96,39,VL,1,268,,,,
18/10/22,17:13,8,10,41,VL,1,282,,,,
18/10/22,17:13,10,60,42,VL,1,256,,,,
18/10/22,17:13,13,98,41,VL,1,268,,,,
18/10/22,17:13,19,48,54,VL,1,245,,,,
18/10/22,17:13,56,78,49,VL,1,271,,,,
18/10/22,17:14,3,54,53,VL,1,257,,,,
18/10/22,17:14,24,91,44,VL,12,296,256,,,
18/10/22,17:14,28,14,43,VL,1,259,,,,
18/10/22,17:14,31,12,44,VL,1,270,,,,
18/10/22,17:14,35,69,39,VL,1,255,,,,
18/10/22,17:14,37,79,40,VL,1,283,,,,
18/10/22,17:14,40,10,44,VL,1,256,,,,
18/10/22,17:14,48,39,45,VL,1,245,,,,
18/10/22,17:15,33,28,50,VL,1,269,,,,
18/10/22,17:15,38,8,44,VL,1,242,,,,
18/10/22,17:15,55,75,44,VL,1,244,,,,
18/10/22,17:16,5,46,38,VL,1,284,,,,
18/10/22,17:16,15,66,45,VL,1,256,,,,
18/10/22,17:16,36,19,43,VL,1,257,,,,
18/10/22,17:16,42,53,46,2RM,13,153,,,,
18/10/22,17:17,7,94,52,VL,1,244,,,,
