SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,5,744,3445,V=016,S=0150,2R
2,12,750,3072,V=013,S=0150,2R
2,18,754,2403,V=034,S=0150,2R
2,17,812,5883,V=022,S=0150,2R
2,6,1117,3814,V=019,S=0150,2R
2,13,1223,367,V=029,S=0150,2R
2,7,1224,3470,V=011,S=0150,2R
2,7,1227,5061,V=016,S=0150,2R
2,7,1259,851,V=015,S=0150,2R
2,4,1356,283,V=018,S=0150,2R
2,14,1500,4531,V=030,S=0150,2R
2,12,1545,5599,V=026,S=0150,2R
2,11,1604,498,V=013,S=0150,2R
2,4,1613,2829,V=015,S=0150,2R
2,6,1617,1781,V=012,S=0150,2R
2,13,1640,1803,V=067,S=0150,2R
2,7,1658,422,V=014,S=0150,2R
2,13,1658,1808,V=011,S=0150,2R
2,3,1704,1207,V=016,S=0150,2R
2,6,1709,3695,V=010,S=0150,2R
2,10,1719,5572,V=012,S=0150,2R
2,11,1725,3896,V=010,S=0150,2R
2,17,1727,2411,V=019,S=0150,2R
2,4,1736,358,V=016,S=0150,2R
2,11,1736,1857,V=023,S=0150,2R
2,12,1749,2740,V=014,S=0150,2R
2,14,1754,2407,V=011,S=0150,2R
2,14,1801,1313,V=027,S=0150,2R
2,3,1804,2405,V=012,S=0150,2R
2,3,1806,769,V=012,S=0150,2R
2,17,1809,4580,V=032,S=0150,2R
2,7,1811,1094,V=012,S=0150,2R
2,7,1819,238,V=015,S=0150,2R
2,6,1825,3693,V=040,S=0150,2R
2,11,1826,3024,V=017,S=0150,2R
2,17,1832,5605,V=015,S=0150,2R
2,14,1834,1818,V=014,S=0150,2R
2,3,1841,700,V=014,S=0150,2R
2,8,1847,4929,V=013,S=0150,2R
2,11,1853,4083,V=027,S=0150,2R
2,7,1856,2127,V=017,S=0150,2R
2,17,1859,2851,V=055,S=0150,2R
2,10,802,2290,V=012,S=0151,2R
2,14,807,2181,V=011,S=0151,2R
2,5,815,830,V=016,S=0151,2R
2,13,815,5917,V=017,S=0151,2R
2,12,822,928,V=015,S=0151,2R
2,4,833,3021,V=015,S=0151,2R
2,11,1008,3752,V=042,S=0151,2R
2,12,1305,1825,V=026,S=0151,2R
2,10,1348,2455,V=053,S=0151,2R
2,6,1526,632,V=023,S=0151,2R
2,14,1533,4493,V=012,S=0151,2R
2,11,1559,3599,V=016,S=0151,2R
2,17,1609,1067,V=014,S=0151,2R
2,4,1610,4357,V=012,S=0151,2R
2,11,1612,1501,V=013,S=0151,2R
2,16,1656,2261,V=055,S=0151,2R
2,4,1701,5954,V=015,S=0151,2R
2,3,1707,2212,V=014,S=0151,2R
2,5,1718,2715,V=013,S=0151,2R
2,3,1720,1390,V=011,S=0151,2R
2,13,1723,2179,V=013,S=0151,2R
2,6,1730,1580,V=015,S=0151,2R
2,10,1734,5857,V=013,S=0151,2R
2,14,1736,2921,V=014,S=0151,2R
2,10,1748,2167,V=011,S=0151,2R
2,4,1757,1006,V=017,S=0151,2R
2,17,1758,3473,V=018,S=0151,2R
2,13,1800,2959,V=019,S=0151,2R
2,11,1801,3148,V=019,S=0151,2R
2,11,1803,4903,V=016,S=0151,2R
2,7,1805,2960,V=013,S=0151,2R
2,6,1808,61,V=045,S=0151,2R
2,4,1812,4661,V=012,S=0151,2R
2,10,1813,2692,V=012,S=0151,2R
2,10,1813,3351,V=010,S=0151,2R
2,13,1814,2157,V=012,S=0151,2R
2,11,1819,490,V=020,S=0151,2R
2,4,1825,2306,V=010,S=0151,2R
2,6,1828,4097,V=027,S=0151,2R
2,4,1833,2747,V=013,S=0151,2R
2,13,1843,969,V=011,S=0151,2R
2,15,654,552,V=084,S=0152,2R
2,7,739,1930,V=017,S=0152,2R
2,11,752,2757,V=019,S=0152,2R
2,13,803,1046,V=017,S=0152,2R
2,14,804,5323,V=014,S=0152,2R
2,12,821,3306,V=019,S=0152,2R
2,17,924,3865,V=035,S=0152,2R
2,10,1050,2130,V=026,S=0152,2R
2,17,1051,2420,V=054,S=0152,2R
2,12,1215,702,V=019,S=0152,2R
2,11,1216,2712,V=042,S=0152,2R
2,8,1517,2328,V=027,S=0152,2R
2,7,1547,2095,V=020,S=0152,2R
2,7,1554,3354,V=017,S=0152,2R
2,4,1601,1575,V=013,S=0152,2R
2,6,1603,509,V=009,S=0152,2R
2,17,1606,1493,V=014,S=0152,2R
2,17,1609,4432,V=013,S=0152,2R
2,7,1616,342,V=017,S=0152,2R
2,5,1624,3750,V=010,S=0152,2R
2,14,1700,5332,V=016,S=0152,2R
2,10,1702,1771,V=030,S=0152,2R
2,10,1709,2637,V=016,S=0152,2R
2,3,1711,247,V=011,S=0152,2R
2,3,1728,36,V=013,S=0152,2R
2,4,1730,2812,V=013,S=0152,2R
2,3,1732,86,V=015,S=0152,2R
2,14,1736,3209,V=013,S=0152,2R
2,11,1742,1770,V=014,S=0152,2R
2,6,1754,2830,V=017,S=0152,2R
2,4,1755,600,V=013,S=0152,2R
2,13,1757,2328,V=018,S=0152,2R
2,7,1758,2995,V=014,S=0152,2R
2,17,1807,5904,V=019,S=0152,2R
2,10,1810,3449,V=021,S=0152,2R
2,11,1813,1151,V=011,S=0152,2R
2,5,1830,3460,V=013,S=0152,2R
2,3,1836,3744,V=013,S=0152,2R
2,11,1837,675,V=015,S=0152,2R
2,4,1847,2658,V=028,S=0152,2R
2,13,1851,4634,V=014,S=0152,2R
2,8,2207,2450,V=022,S=0152,2R
2,13,756,2269,V=028,S=0153,2R
2,13,857,4407,V=013,S=0153,2R
2,5,920,1195,V=053,S=0153,2R
2,4,937,71,V=028,S=0153,2R
2,10,1050,2835,V=016,S=0153,2R
2,5,1054,1142,V=110,S=0153,2R
2,12,1255,4612,V=015,S=0153,2R
2,5,1310,5376,V=013,S=0153,2R
2,13,1312,998,V=030,S=0153,2R
2,11,1422,5578,V=039,S=0153,2R
2,14,1555,5,V=046,S=0153,2R
2,6,1600,2579,V=013,S=0153,2R
2,14,1604,5245,V=014,S=0153,2R
2,7,1605,4774,V=022,S=0153,2R
2,14,1607,2572,V=012,S=0153,2R
2,17,1629,82,V=010,S=0153,2R
2,7,1629,4574,V=019,S=0153,2R
2,14,1632,2170,V=015,S=0153,2R
2,5,1658,1697,V=026,S=0153,2R
