SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
Sortie fac,3,1530,1466,V=042,S=0618,VL
Sortie fac,3,1530,4347,V=040,S=0613,VL
Sortie fac,3,1531,3210,V=030,S=0592,VL
Entrée fac,3,1531,3593,V=055,S=0703,VL
Sortie fac,3,1531,3756,V=041,S=0660,VL
Sortie fac,3,1531,3906,V=036,S=0589,VL
Sortie fac,3,1531,4736,V=040,S=0631,VL
Sortie fac,3,1532,1961,V=028,S=0532,VL
Entrée fac,3,1532,3342,V=043,S=0658,VL
Sortie fac,3,1532,3790,V=034,S=0576,VL
Sortie fac,3,1533,1278,V=042,S=1541,PL/Bus
Sortie fac,3,1533,3213,V=019,S=0828,VL
Entrée fac,3,1533,3414,V=026,S=0618,VL
Sortie fac,3,1533,5307,V=038,S=0547,VL
Entrée fac,3,1534,349,V=041,S=0886,VL
Entrée fac,3,1534,663,V=044,S=0369,VL
Sortie fac,3,1534,754,V=022,S=0589,VL
Sortie fac,3,1534,4425,V=025,S=0621,VL
Sortie fac,3,1535,140,V=025,S=0576,VL
Sortie fac,3,1535,4367,V=026,S=0223,VÃ©lo
Entrée fac,3,1536,1153,V=042,S=0565,VL
Sortie fac,3,1536,2167,V=038,S=0555,VL
Sortie fac,3,1536,2465,V=032,S=0507,VL
Sortie fac,3,1536,3042,V=010,S=0259,2RM
Entrée fac,3,1536,3177,V=025,S=0640,VL
Sortie fac,3,1536,3687,V=016,S=0665,VL
Entrée fac,3,1536,4139,V=025,S=0746,VL
Sortie fac,3,1536,4499,V=031,S=0510,VL
Sortie fac,3,1537,496,V=036,S=0563,VL
Sortie fac,3,1537,2010,V=017,S=0583,VL
Sortie fac,3,1537,2379,V=020,S=0476,VL
Sortie fac,3,1537,3007,V=033,S=0492,VL
Sortie fac,3,1537,4055,V=021,S=0527,VL
Entrée fac,3,1537,4186,V=044,S=0664,VL
Sortie fac,3,1537,5107,V=017,S=0504,VL
Entrée fac,3,1538,816,V=045,S=0678,VL
Sortie fac,3,1538,1109,V=046,S=0594,VL
Sortie fac,3,1538,1978,V=038,S=0539,VL
Sortie fac,3,1538,2472,V=019,S=0353,2RM
Sortie fac,3,1538,3587,V=023,S=0520,VL
Sortie fac,3,1538,5368,V=044,S=0598,VL
Sortie fac,3,1539,128,V=033,S=0665,VL
Sortie fac,3,1539,292,V=037,S=0568,VL
Sortie fac,3,1539,508,V=041,S=0578,VL
Sortie fac,3,1539,861,V=027,S=0666,VL
Sortie fac,3,1539,2368,V=025,S=0510,VL
Sortie fac,3,1539,4327,V=016,S=0187,VÃ©lo
Sortie fac,3,1540,165,V=021,S=0276,2RM
Sortie fac,3,1541,811,V=043,S=0655,VL
Sortie fac,3,1541,1391,V=022,S=0502,VL
Entrée fac,3,1541,1808,V=043,S=0959,VL
Sortie fac,3,1541,2717,V=044,S=0557,VL
Sortie fac,3,1541,5022,V=044,S=0892,VL
Sortie fac,3,1542,239,V=025,S=0776,VL
Sortie fac,3,1542,783,V=026,S=0592,VL
Sortie fac,3,1542,1160,V=038,S=0636,VL
Entrée fac,3,1542,4120,V=042,S=0582,VL
Sortie fac,3,1542,4773,V=019,S=0417,VL
Sortie fac,3,1542,4842,V=041,S=0571,VL
Sortie fac,3,1543,1683,V=044,S=0627,VL
Entrée fac,3,1543,4240,V=041,S=0734,VL
Entrée fac,3,1544,1221,V=035,S=0635,VL
Sortie fac,3,1545,1449,V=022,S=0646,VL
Sortie fac,3,1545,2475,V=044,S=0639,VL
Entrée fac,3,1545,3560,V=048,S=0750,VL
Entrée fac,3,1546,1049,V=044,S=0675,VL
Sortie fac,3,1546,1774,V=029,S=0566,VL
Entrée fac,3,1547,157,V=039,S=0778,VL
Entrée fac,3,1547,1992,V=041,S=0619,VL
Sortie fac,3,1547,3533,V=056,S=0878,VL
Sortie fac,3,1547,5842,V=030,S=0562,VL
Entrée fac,3,1548,85,V=039,S=0640,VL
Sortie fac,3,1548,555,V=036,S=0521,VL
Sortie fac,3,1548,627,V=036,S=0312,2RM
Sortie fac,3,1548,1343,V=042,S=0648,VL
Sortie fac,3,1548,1505,V=043,S=0647,VL
Entrée fac,3,1548,2659,V=021,S=0778,VL
Entrée fac,3,1548,4064,V=046,S=0628,VL
Sortie fac,3,1548,4269,V=036,S=0572,VL
Sortie fac,3,1549,84,V=025,S=0837,VL
Sortie fac,3,1549,1151,V=038,S=0612,VL
Entrée fac,3,1549,3885,V=039,S=0697,VL
Sortie fac,3,1549,4278,V=038,S=0693,VL
Entrée fac,3,1550,286,V=043,S=0590,VL
Sortie fac,3,1550,383,V=043,S=0687,VL
Sortie fac,3,1550,2454,V=053,S=0644,VL
Sortie fac,3,1550,3593,V=045,S=0575,VL
Entrée fac,3,1551,1374,V=029,S=0730,VL
Entrée fac,3,1551,3021,V=045,S=0754,VL
Entrée fac,3,1551,4020,V=038,S=0612,VL
Sortie fac,3,1551,4774,V=048,S=0747,VL
Sortie fac,3,1551,4924,V=048,S=0727,VL
Entrée fac,3,1551,5367,V=047,S=0654,VL
Sortie fac,3,1552,1225,V=018,S=0223,VÃ©lo
Entrée fac,3,1552,1577,V=042,S=0715,VL
Entrée fac,3,1552,2892,V=032,S=0653,VL
Sortie fac,3,1552,3644,V=032,S=0638,VL
Entrée fac,3,1552,4482,V=053,S=0453,VL
Sortie fac,3,1553,2092,V=030,S=0669,VL
Entrée fac,3,1553,2675,V=040,S=0701,VL
Entrée fac,3,1553,5077,V=044,S=0707,VL
Sortie fac,3,1554,42,V=046,S=0667,VL
Sortie fac,3,1555,2303,V=044,S=0629,VL
Sortie fac,3,1555,2839,V=049,S=1080,VL
Sortie fac,3,1556,5461,V=023,S=0609,VL
Entrée fac,3,1556,5926,V=020,S=0191,VÃ©lo
Sortie fac,3,1557,2443,V=044,S=0588,VL
Entrée fac,3,1557,3664,V=035,S=0668,VL
Sortie fac,3,1557,5406,V=078,S=0400,VL
Sortie fac,3,1557,5680,V=039,S=0644,VL
Entrée fac,3,1558,554,V=038,S=0598,VL
Entrée fac,3,1558,1269,V=037,S=0602,VL
Entrée fac,3,1558,1791,V=045,S=0651,VL
Entrée fac,3,1558,2090,V=046,S=0680,VL
Sortie fac,3,1558,3139,V=049,S=0649,VL
Sortie fac,3,1558,3290,V=049,S=0623,VL
Sortie fac,3,1558,3926,V=039,S=0606,VL
Sortie fac,3,1558,4236,V=041,S=1005,VL
Sortie fac,3,1559,342,V=058,S=0392,VL
Sortie fac,3,1559,730,V=051,S=0663,VL
Sortie fac,3,1559,1750,V=036,S=0596,VL
Entrée fac,3,1559,1884,V=024,S=0644,VL
Sortie fac,3,1559,4647,V=031,S=0648,VL
Sortie fac,3,1600,5211,V=040,S=0629,VL
Sortie fac,3,1601,246,V=043,S=0737,VL
Entrée fac,3,1601,5050,V=040,S=0535,VL
Entrée fac,3,1602,1693,V=044,S=0752,VL
Sortie fac,3,1602,3550,V=034,S=0550,VL
Sortie fac,3,1603,91,V=036,S=0620,VL
Sortie fac,3,1603,194,V=023,S=0166,VÃ©lo
Entrée fac,3,1603,285,V=036,S=0650,VL
Sortie fac,3,1603,537,V=036,S=0439,VL
Sortie fac,3,1603,3774,V=043,S=0518,VL
Entrée fac,3,1603,4919,V=041,S=0720,VL
Sortie fac,3,1603,5673,V=037,S=0540,VL
Sortie fac,3,1604,776,V=038,S=0710,VL
Sortie fac,3,1604,3418,V=044,S=0630,VL
Sortie fac,3,1604,3954,V=052,S=0656,VL
Sortie fac,3,1604,5344,V=058,S=0627,VL
Sortie fac,3,1605,1714,V=051,S=0549,VL
Sortie fac,3,1605,3482,V=041,S=0518,VL
Sortie fac,3,1605,4404,V=037,S=0504,VL
Sortie fac,3,1605,4603,V=038,S=0582,VL
Sortie fac,3,1605,5484,V=030,S=0523,VL
Sortie fac,3,1606,33,V=034,S=0612,VL
Entrée fac,3,1606,1526,V=045,S=0687,VL
Entrée fac,3,1606,2946,V=043,S=0684,VL
Sortie fac,3,1606,3453,V=044,S=0573,VL
Entrée fac,3,1606,5956,V=019,S=0494,VL
