ID,Catégorie,Horodate,Entrant,Sortant
1,VELO,2022/10/04 12:04:11.799,x,
2,VL,2022/10/04 12:04:29.330,,x
3,VELO,2022/10/04 12:04:34.861,x,
4,VL,2022/10/04 12:05:02.330,,x
100003,VL,2022/10/04 12:05:41.797,x,
21,VELO,2022/10/04 12:05:56.663,x,
22,VL,2022/10/04 12:06:00.129,,x
23,VL,2022/10/04 12:06:02.796,,x
24,VELO,2022/10/04 12:06:04.596,x,
44,VELO,2022/10/04 12:06:22.394,,x
100004,VELO,2022/10/04 12:06:26.796,x,
54,PL_1,2022/10/04 12:06:47.926,,x
70,VL,2022/10/04 12:07:06.194,,x
100008,VL,2022/10/04 12:07:12.261,x,
100010,VL,2022/10/04 12:07:17.929,x,
100011,VL,2022/10/04 12:07:18.396,x,
74,VL,2022/10/04 12:07:42.193,,x
100012,VL,2022/10/04 12:07:56.994,x,
79,VL,2022/10/04 12:08:06.993,,x
80,VELO,2022/10/04 12:08:06.993,,x
82,VELO,2022/10/04 12:08:25.859,,x
93,VL,2022/10/04 12:09:35.661,,x
94,VELO,2022/10/04 12:09:53.260,,x
95,VL,2022/10/04 12:10:10.726,,x
96,VELO,2022/10/04 12:10:24.329,,x
97,VL,2022/10/04 12:10:31.594,,x
99,VELO,2022/10/04 12:10:32.727,,x
98,VL,2022/10/04 12:11:01.593,,x
103,VL,2022/10/04 12:11:04.260,,x
109,VL,2022/10/04 12:11:07.927,,x
110,VELO,2022/10/04 12:11:31.725,,x
100028,VL,2022/10/04 12:11:42.257,x,
113,VELO,2022/10/04 12:12:01.190,,x
114,VELO,2022/10/04 12:12:09.657,,x
148,VL,2022/10/04 12:12:41.058,,x
164,VL,2022/10/04 12:13:01.257,,x
165,VL,2022/10/04 12:13:26.592,,x
175,VELO,2022/10/04 12:13:35.457,x,
177,VELO,2022/10/04 12:13:41.324,x,
179,VELO,2022/10/04 12:13:50.191,x,
181,VL,2022/10/04 12:13:53.058,,x
185,VL,2022/10/04 12:13:56.790,,x
203,VL,2022/10/04 12:14:26.722,,x
100060,UT,2022/10/04 12:14:50.856,x,
100061,VL,2022/10/04 12:14:58.125,x,
207,VELO,2022/10/04 12:15:06.057,x,
208,VL,2022/10/04 12:15:12.393,,x
209,VELO,2022/10/04 12:15:15.724,,x
210,VELO,2022/10/04 12:15:16.991,,x
213,VELO,2022/10/04 12:16:17.121,,x
214,VL,2022/10/04 12:16:25.189,,x
215,VL,2022/10/04 12:16:43.523,,x
216,VELO,2022/10/04 12:17:31.721,,x
100068,VELO,2022/10/04 12:17:33.856,,x
218,UT,2022/10/04 12:17:43.721,,x
225,VELO,2022/10/04 12:18:33.721,,x
250,VELO,2022/10/04 12:19:11.121,x,
251,VELO,2022/10/04 12:19:14.721,x,
256,VELO,2022/10/04 12:20:00.788,x,
