SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1430,33,V=043,S=0200,VL
1,3,1430,160,V=043,S=0576,VL
1,3,1430,325,V=045,S=0496,VL
1,3,1430,539,V=043,S=0526,VL
1,3,1430,760,V=039,S=0497,VL
1,3,1430,1163,V=036,S=0434,VL
1,3,1430,1464,V=040,S=0279,VL
1,3,1430,3481,V=046,S=0515,VL
1,3,1430,3842,V=043,S=0517,VL
1,3,1431,1691,V=045,S=0592,VL
1,3,1431,1934,V=045,S=0526,VL
1,3,1431,2514,V=049,S=0725,VL
1,3,1431,2642,V=050,S=0559,VL
1,3,1431,3712,V=046,S=0534,VL
1,3,1431,4288,V=041,S=0485,VL
1,3,1431,4413,V=040,S=0550,VL
1,3,1431,4988,V=043,S=0537,VL
1,3,1431,5152,V=040,S=0446,VL
1,3,1431,5174,V=039,S=0175,VL
1,3,1431,5291,V=040,S=0442,VL
1,3,1431,5390,V=041,S=0278,VL
1,3,1432,473,V=040,S=0705,VL
1,3,1432,643,V=041,S=0719,VL
1,3,1432,1314,V=039,S=0530,VL
1,3,1432,1432,V=039,S=0558,VL
1,3,1432,1545,V=037,S=0509,VL
1,3,1432,1833,V=039,S=0752,VL
1,3,1432,2047,V=035,S=0477,VL
1,3,1432,2218,V=032,S=0398,VL
1,3,1432,4049,V=052,S=0516,VL
1,3,1432,4336,V=052,S=0228,VL
1,3,1433,3610,V=044,S=0515,VL
1,3,1433,3693,V=044,S=0321,VL
1,3,1433,5766,V=048,S=0512,VL
1,3,1434,256,V=042,S=0519,VL
1,3,1434,501,V=044,S=0571,VL
1,3,1434,613,V=041,S=0511,VL
1,3,1434,756,V=044,S=0555,VL
1,3,1434,1477,V=038,S=0586,VL
1,3,1434,1704,V=040,S=0597,VL
1,3,1434,3984,V=034,S=0604,VL
1,3,1434,4265,V=035,S=0543,VL
1,3,1435,2004,V=040,S=0553,VL
1,3,1435,2572,V=055,S=0793,VL
1,3,1436,493,V=041,S=0507,VL
1,3,1436,655,V=042,S=0483,VL
1,3,1436,1041,V=041,S=0562,VL
1,3,1436,2840,V=053,S=0676,VL
1,3,1436,3294,V=046,S=0498,VL
1,3,1436,3999,V=055,S=0401,VL
1,3,1437,660,V=030,S=0545,VL
1,3,1437,848,V=027,S=0397,VL
1,3,1437,1054,V=023,S=0669,VL
1,3,1437,1218,V=020,S=0286,VL
1,3,1437,1450,V=022,S=0366,VL
1,3,1437,1774,V=026,S=0434,VL
1,3,1437,1994,V=027,S=0502,VL
1,3,1437,2308,V=034,S=0561,VL
1,3,1437,3410,V=044,S=0525,VL
1,3,1437,3571,V=045,S=0554,VL
1,3,1438,1231,V=049,S=0596,VL
1,3,1438,2801,V=052,S=0644,VL
1,3,1438,3126,V=052,S=0291,VL
1,3,1439,38,V=022,S=0509,VL
1,3,1439,378,V=018,S=0470,VL
1,3,1439,736,V=033,S=0535,VL
1,3,1439,3332,V=054,S=0582,VL
1,3,1439,4747,V=031,S=0457,VL
1,3,1440,164,V=044,S=0517,VL
1,3,1440,3302,V=046,S=0515,VL
1,3,1440,4230,V=044,S=0574,VL
1,3,1440,4388,V=044,S=0461,VL
1,3,1440,4710,V=046,S=0638,VL
1,3,1440,5567,V=053,S=0486,VL
1,3,1440,5757,V=058,S=0249,VL
1,3,1440,5950,V=054,S=0463,VL
1,3,1441,225,V=046,S=0572,VL
1,3,1441,4956,V=049,S=0512,VL
1,3,1441,5436,V=042,S=0485,VL
1,3,1441,5760,V=034,S=0529,VL
1,3,1442,2238,V=038,S=0464,VL
1,3,1442,5252,V=041,S=0518,VL
1,3,1442,5652,V=051,S=0429,VL
1,3,1443,1742,V=039,S=0318,VL
1,3,1443,1866,V=042,S=0555,VL
1,3,1443,2377,V=050,S=0761,VL
1,3,1443,2599,V=046,S=0507,VL
1,3,1443,2957,V=050,S=0544,VL
1,3,1443,3214,V=048,S=0425,VL
1,3,1443,3423,V=046,S=0498,VL
1,3,1443,4470,V=048,S=0482,VL
1,3,1443,4755,V=057,S=0752,VL
1,3,1443,5603,V=045,S=0634,VL
1,3,1444,208,V=048,S=0464,VL
1,3,1444,433,V=051,S=0528,VL
1,3,1444,2117,V=047,S=0513,VL
1,3,1444,2278,V=048,S=0529,VL
1,3,1444,2676,V=043,S=0483,VL
1,3,1444,3673,V=052,S=0508,VL
1,3,1444,3784,V=052,S=0507,VL
1,3,1444,4020,V=051,S=0527,VL
1,3,1445,1710,V=054,S=0613,VL
1,3,1445,3879,V=035,S=0466,VL
1,3,1445,5288,V=050,S=0475,VL
1,3,1446,1570,V=045,S=0436,VL
1,3,1446,2012,V=054,S=0770,VL
1,3,1446,2551,V=051,S=0534,VL
1,3,1446,2758,V=048,S=0564,VL
1,3,1446,3210,V=049,S=0636,VL
1,3,1446,3653,V=047,S=0509,VL
1,3,1446,3960,V=048,S=0529,VL
1,3,1446,4129,V=053,S=0586,VL
1,3,1446,4472,V=043,S=0548,VL
1,3,1446,5031,V=036,S=0584,VL
1,3,1446,5461,V=044,S=0494,VL
1,3,1447,1151,V=035,S=0469,VL
1,3,1447,3019,V=046,S=1558,PL
1,3,1447,3347,V=059,S=0179,VL
1,3,1448,559,V=043,S=0450,VL
1,3,1448,778,V=047,S=0806,VL
1,3,1448,1403,V=051,S=0456,VL
1,3,1448,1623,V=060,S=0498,VL
1,3,1448,1965,V=057,S=0465,VL
1,3,1448,4430,V=048,S=1295,PL
1,3,1448,4812,V=040,S=0529,VL
1,3,1448,4966,V=039,S=0479,VL
1,3,1448,5093,V=041,S=0489,VL
1,3,1449,1886,V=043,S=0479,VL
1,3,1449,2463,V=040,S=0616,VL
1,3,1449,2647,V=042,S=0544,VL
1,3,1449,5117,V=054,S=0349,VL
1,3,1449,5689,V=043,S=0464,VL
1,3,1450,2160,V=053,S=0441,VL
1,3,1450,3272,V=042,S=0508,VL
1,3,1450,3839,V=039,S=0715,VL
1,3,1450,4074,V=036,S=0507,VL
1,3,1450,4719,V=035,S=0520,VL
1,3,1451,2275,V=053,S=0514,VL
1,3,1451,2616,V=044,S=0333,VL
1,3,1451,2742,V=045,S=0541,VL
1,3,1451,2984,V=053,S=0507,VL
1,3,1451,4545,V=033,S=0595,VL
1,3,1452,511,V=036,S=0445,VL
1,3,1452,642,V=035,S=0460,VL
1,3,1452,2625,V=037,S=0662,VL
1,3,1453,1640,V=046,S=0240,VL
1,3,1453,1736,V=045,S=0429,VL
1,3,1453,2503,V=043,S=0493,VL
1,3,1453,4261,V=029,S=0349,VL
1,3,1453,5027,V=037,S=1535,PL
1,3,1454,1478,V=057,S=0566,VL
1,3,1454,2009,V=051,S=0550,VL
1,3,1454,2683,V=051,S=0491,VL
1,3,1454,5365,V=029,S=0197,VL
1,3,1454,5547,V=024,S=0446,VL
1,3,1455,4563,V=057,S=0513,VL
1,3,1455,4876,V=054,S=0440,VL
1,3,1455,5366,V=045,S=0571,VL
1,3,1456,182,V=040,S=0412,VL
1,3,1456,437,V=039,S=0473,VL
1,3,1456,735,V=043,S=1054,PL
1,3,1456,922,V=044,S=0398,VL
1,3,1456,1099,V=047,S=0540,VL
1,3,1456,1227,V=045,S=0243,VL
1,3,1456,1653,V=042,S=0448,VL
1,3,1456,3310,V=049,S=0793,VL
1,3,1456,5025,V=035,S=0368,VL
1,3,1456,5152,V=039,S=0499,VL
1,3,1456,5335,V=036,S=0578,VL
1,3,1456,5500,V=036,S=0478,VL
1,3,1456,5770,V=035,S=0489,VL
1,3,1457,239,V=036,S=0583,VL
1,3,1457,2097,V=044,S=0522,VL
1,3,1457,2280,V=043,S=0406,VL
1,3,1457,2514,V=044,S=0276,VL
1,3,1457,2690,V=044,S=0458,VL
1,3,1457,3234,V=037,S=0440,VL
1,3,1457,3558,V=036,S=0528,VL
1,3,1457,4164,V=042,S=0465,VL
1,3,1457,4332,V=042,S=0631,VL
1,3,1457,4619,V=043,S=0533,VL
1,3,1457,4719,V=040,S=0493,VL
1,3,1457,5579,V=054,S=0504,VL
1,3,1458,990,V=036,S=0499,VL
1,3,1458,1515,V=043,S=0577,VL
1,3,1458,3007,V=052,S=0785,VL
1,3,1458,5890,V=049,S=0735,VL
1,3,1459,407,V=042,S=0544,VL
1,3,1459,924,V=044,S=0529,VL
1,3,1459,1146,V=042,S=0716,VL
1,3,1459,1418,V=038,S=0589,VL
1,3,1459,1676,V=041,S=0472,VL
1,3,1459,2210,V=037,S=0473,VL
1,3,1459,2397,V=037,S=0487,VL
1,3,1459,2512,V=036,S=0482,VL
1,3,1459,2807,V=044,S=0518,VL
1,3,1459,3784,V=045,S=0508,VL
1,3,1459,4266,V=052,S=0484,VL
1,3,1459,4818,V=044,S=0537,VL
1,3,1459,4973,V=043,S=0540,VL
1,3,1500,0,V=042,S=0690,VL
1,3,1500,139,V=041,S=0438,VL
1,3,1500,500,V=039,S=0465,VL
1,3,1500,639,V=037,S=0317,VL
1,3,1500,781,V=037,S=0557,VL
1,3,1500,1520,V=041,S=0457,VL
1,3,1500,2093,V=053,S=0541,VL
1,3,1500,2581,V=055,S=0702,VL
1,3,1500,3605,V=043,S=0559,VL
1,3,1500,4945,V=057,S=0702,VL
1,3,1501,5774,V=049,S=0460,VL
1,3,1502,3377,V=040,S=0477,VL
1,3,1502,3853,V=040,S=0465,VL
1,3,1502,4264,V=045,S=0480,VL
1,3,1502,4632,V=051,S=0479,VL
1,3,1503,2260,V=042,S=0572,VL
1,3,1503,2508,V=044,S=0501,VL
1,3,1503,2872,V=047,S=0277,VL
1,3,1503,3220,V=044,S=0344,VL
1,3,1503,3370,V=043,S=0599,VL
1,3,1503,3919,V=042,S=0474,VL
1,3,1503,3943,V=042,S=0205,VL
1,3,1503,4059,V=039,S=0561,VL
1,3,1503,5681,V=049,S=0419,VL
1,3,1504,171,V=052,S=0631,VL
1,3,1504,3845,V=054,S=0576,VL
1,3,1504,4264,V=053,S=0502,VL
1,3,1504,4737,V=046,S=0509,VL
1,3,1504,5283,V=058,S=0584,VL
1,3,1504,5701,V=055,S=0789,VL
1,3,1505,16,V=051,S=0515,VL
1,3,1505,668,V=035,S=0557,VL
1,3,1505,1446,V=056,S=0763,VL
1,3,1505,1894,V=050,S=0435,VL
1,3,1505,2220,V=046,S=0451,VL
1,3,1505,3840,V=041,S=0460,VL
1,3,1505,4349,V=042,S=0410,VL
1,3,1505,4372,V=041,S=0213,VL
1,3,1506,1951,V=046,S=0464,VL
1,3,1506,2192,V=045,S=0464,VL
1,3,1506,2569,V=055,S=0521,VL
1,3,1506,5452,V=044,S=0555,VL
1,3,1506,5611,V=045,S=0472,VL
1,3,1507,1576,V=041,S=0444,VL
1,3,1507,2118,V=046,S=0557,VL
1,3,1507,3199,V=049,S=0568,VL
1,3,1507,4103,V=042,S=0590,VL
1,3,1508,2220,V=052,S=0755,VL
1,3,1508,2390,V=047,S=0599,VL
1,3,1508,2617,V=045,S=0480,VL
1,3,1508,4462,V=047,S=0507,VL
1,3,1508,4666,V=045,S=0639,VL
1,3,1508,5245,V=044,S=0587,VL
1,3,1508,5544,V=031,S=0456,VL
1,3,1509,1174,V=054,S=0507,VL
1,3,1509,1648,V=047,S=0490,VL
1,3,1509,2384,V=045,S=0582,VL
1,3,1509,2556,V=051,S=0519,VL
1,3,1509,3019,V=045,S=0484,VL
1,3,1509,3312,V=042,S=0505,VL
1,3,1509,3595,V=045,S=0492,VL
1,3,1509,4537,V=039,S=0682,VL
1,3,1509,4695,V=043,S=0625,VL
1,3,1510,1086,V=045,S=0346,VL
1,3,1510,1215,V=045,S=0470,VL
1,3,1510,1484,V=047,S=0548,VL
1,3,1510,2207,V=044,S=0655,VL
1,3,1510,2741,V=047,S=0470,VL
1,3,1510,5561,V=039,S=0512,VL
1,3,1510,5857,V=037,S=0429,VL
1,3,1511,354,V=035,S=0484,VL
1,3,1511,4850,V=050,S=0533,VL
1,3,1512,2567,V=050,S=0462,VL
1,3,1512,2993,V=043,S=0523,VL
1,3,1512,4970,V=045,S=0559,VL
1,3,1512,5150,V=043,S=0541,VL
1,3,1512,5293,V=044,S=0457,VL
1,3,1513,3321,V=040,S=0519,VL
1,3,1513,3672,V=039,S=0490,VL
1,3,1513,3799,V=041,S=0442,VL
1,3,1513,4426,V=041,S=0393,VL
1,3,1514,1174,V=051,S=0460,VL
1,3,1514,1530,V=052,S=0477,VL
1,3,1514,1881,V=049,S=0687,VL
1,3,1514,2666,V=041,S=0329,VL
1,3,1514,3046,V=049,S=0531,VL
1,3,1514,3923,V=035,S=0728,VL
1,3,1514,5767,V=041,S=0538,VL
1,3,1515,443,V=043,S=0434,VL
1,3,1515,3602,V=033,S=0645,VL
1,3,1515,3749,V=032,S=0482,VL
1,3,1515,3899,V=033,S=0500,VL
1,3,1515,4052,V=034,S=0221,VL
1,3,1515,4136,V=035,S=0165,2R
1,3,1515,4291,V=034,S=0589,VL
1,3,1515,4860,V=042,S=0550,VL
1,3,1515,5060,V=042,S=0440,VL
1,3,1516,380,V=047,S=0901,PL
