Jour,Heure,Seconde,Centième,Vitesse,Type,Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
10/10/22,11:40,27,7,30,PL,14,1306,102,,,,
10/10/22,11:40,45,50,49,VL,1,191,,,,,
10/10/22,11:40,52,4,49,VL,1,191,,,,,
10/10/22,11:40,53,38,28,VL,1,320,,,,,
10/10/22,11:41,5,86,70,VL,1,270,,,,,
10/10/22,11:41,12,76,42,VL,1,192,,,,,
10/10/22,11:41,19,60,41,PL,2,620,,,,,
10/10/22,11:41,23,99,35,VL,1,257,,,,,
10/10/22,11:41,28,2,42,VL,1,244,,,,,
10/10/22,11:41,30,47,39,VL,1,243,,,,,
10/10/22,11:41,57,84,34,VL,1,257,,,,,
10/10/22,11:42,14,69,30,VL,2,383,,,,,
10/10/22,11:42,18,80,30,VL,12,269,474,140,,,
10/10/22,11:42,22,75,33,VL,2,422,,,,,
10/10/22,11:42,26,19,28,VL,1,257,,,,,
10/10/22,11:42,30,91,36,VL,1,256,,,,,
10/10/22,11:42,52,82,55,VL,1,271,,,,,
10/10/22,11:43,2,88,34,VL,1,268,,,,,
10/10/22,11:43,4,71,32,VL,1,269,,,,,
10/10/22,11:43,6,6,30,Moto,13,128,,,,,
10/10/22,11:43,7,84,33,VL,1,255,,,,,
10/10/22,11:43,29,27,33,VL,1,257,,,,,
10/10/22,11:43,42,36,50,VL,1,230,,,,,
10/10/22,11:43,45,11,39,VL,1,256,,,,,
10/10/22,11:44,9,11,110,VL,1,680,,,,,
10/10/22,11:44,33,67,51,VL,1,244,,,,,
10/10/22,11:44,38,82,53,VL,1,258,,,,,
10/10/22,11:44,44,53,44,VL,1,256,,,,,
10/10/22,11:45,16,71,47,VL,1,258,,,,,
10/10/22,11:45,20,77,43,Moto,13,115,,,,,
10/10/22,11:46,4,59,33,VL,1,257,,,,,
10/10/22,11:46,6,26,33,VL,1,243,,,,,
10/10/22,11:46,11,66,18,VL,1,230,,,,,
10/10/22,11:46,17,89,36,VL,1,268,,,,,
10/10/22,11:46,28,99,55,VL,1,256,,,,,
10/10/22,11:46,49,4,49,VL,1,244,,,,,
10/10/22,11:46,51,19,46,VL,1,257,,,,,
10/10/22,11:47,19,36,45,VL,1,257,,,,,
10/10/22,11:48,0,28,48,VL,1,296,,,,,
10/10/22,11:48,33,22,44,VL,1,256,,,,,
10/10/22,11:48,37,33,36,VL,1,243,,,,,
10/10/22,11:48,55,59,64,VL,1,255,,,,,
10/10/22,11:49,5,46,45,VL,1,307,,,,,
10/10/22,11:49,7,85,51,Moto,13,153,,,,,
10/10/22,11:49,19,30,41,VL,1,256,,,,,
10/10/22,11:50,4,63,42,Moto,13,129,,,,,
10/10/22,11:50,6,91,40,VL,1,268,,,,,
10/10/22,11:50,41,58,51,VL,1,230,,,,,
10/10/22,11:50,46,80,58,VL,1,267,,,,,
10/10/22,11:51,3,23,50,Moto,13,115,,,,,
10/10/22,11:51,6,55,46,VL,1,281,,,,,
10/10/22,11:51,11,25,41,VL,1,268,,,,,
10/10/22,11:51,13,86,39,VL,1,270,,,,,
10/10/22,11:51,25,48,44,Moto,13,114,,,,,
10/10/22,11:51,35,25,44,Moto,13,114,,,,,
10/10/22,11:51,50,13,37,VL,2,422,,,,,
10/10/22,11:51,52,67,37,Moto,13,141,,,,,
10/10/22,11:52,5,5,45,VL,1,256,,,,,
10/10/22,11:52,9,73,48,VL,1,269,,,,,
10/10/22,11:52,16,17,42,VL,1,255,,,,,
10/10/22,11:52,55,40,60,VL,1,346,,,,,
10/10/22,11:53,1,65,53,VL,1,258,,,,,
10/10/22,11:53,4,21,49,VL,1,243,,,,,
10/10/22,11:53,6,83,56,Moto,13,155,,,,,
10/10/22,11:53,35,53,37,VL,1,256,,,,,
10/10/22,11:53,45,10,44,VL,1,269,,,,,
10/10/22,11:54,12,29,50,VL,1,284,,,,,
10/10/22,11:54,23,65,44,VL,1,256,,,,,
10/10/22,11:54,31,49,45,VL,1,232,,,,,
10/10/22,11:54,37,78,49,VL,1,245,,,,,
10/10/22,11:54,44,40,39,VL,1,269,,,,,
10/10/22,11:54,50,82,31,VL,1,270,,,,,
10/10/22,11:55,9,19,38,VL,1,243,,,,,
10/10/22,11:55,20,34,32,VL,1,255,,,,,
10/10/22,11:55,23,26,34,VL,1,257,,,,,
10/10/22,11:55,28,87,49,VL,1,270,,,,,
10/10/22,11:55,32,35,43,VL,1,244,,,,,
10/10/22,11:55,48,83,63,VL,1,271,,,,,
10/10/22,11:56,17,23,35,VL,1,270,,,,,
10/10/22,11:56,20,69,40,VL,1,308,,,,,
10/10/22,11:56,25,44,33,VL,1,270,,,,,
10/10/22,11:56,27,76,31,VL,1,243,,,,,
10/10/22,11:56,56,16,41,VL,1,243,,,,,
10/10/22,11:57,12,73,37,VL,1,281,,,,,
10/10/22,11:57,14,46,37,VL,1,242,,,,,
10/10/22,11:57,17,81,35,VL,1,268,,,,,
10/10/22,11:57,40,15,54,VL,1,231,,,,,
10/10/22,11:58,3,61,39,VL,1,294,,,,,
10/10/22,11:58,5,52,38,VL,1,258,,,,,
10/10/22,11:58,8,52,35,VL,1,281,,,,,
10/10/22,11:58,10,90,35,VL,1,320,,,,,
