Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
18/10/22,17:19,25,65,55,VL,1,269,,,,
18/10/22,17:19,34,17,45,VL,1,256,,,,
18/10/22,17:20,6,64,36,VL,1,268,,,,
18/10/22,17:20,11,37,41,VL,1,268,,,,
18/10/22,17:20,18,40,36,VL,1,256,,,,
18/10/22,17:20,21,58,37,VL,1,244,,,,
18/10/22,17:20,21,50,36,VL,1,321,,,,
18/10/22,17:20,31,94,37,VL,1,230,,,,
18/10/22,17:20,34,23,37,VL,1,256,,,,
18/10/22,17:20,41,92,42,VL,1,193,,,,
18/10/22,17:20,48,66,48,VL,1,244,,,,
18/10/22,17:21,8,70,41,VL,1,268,,,,
18/10/22,17:21,31,13,34,VL,1,242,,,,
18/10/22,17:21,37,81,43,VL,1,230,,,,
18/10/22,17:21,40,52,37,Moto,13,180,,,,
18/10/22,17:21,41,73,48,VL,1,269,,,,
18/10/22,17:21,44,65,54,VL,1,256,,,,
18/10/22,17:21,53,13,35,VL,1,268,,,,
18/10/22,17:21,56,73,39,VL,1,244,,,,
18/10/22,17:22,34,84,41,VL,1,270,,,,
18/10/22,17:22,37,89,40,VL,1,346,,,,
18/10/22,17:22,45,15,41,VL,1,231,,,,
18/10/22,17:22,47,1,40,VL,1,230,,,,
18/10/22,17:23,17,46,46,VL,2,360,,,,
18/10/22,17:23,19,73,43,VL,1,232,,,,
18/10/22,17:23,21,25,44,VL,1,243,,,,
18/10/22,17:23,48,71,41,VL,1,268,,,,
18/10/22,17:23,57,35,36,VL,1,256,,,,
18/10/22,17:24,7,99,44,VL,1,242,,,,
18/10/22,17:24,27,99,43,VL,1,255,,,,
18/10/22,17:24,35,32,42,VL,1,245,,,,
18/10/22,17:24,36,76,45,VL,1,257,,,,
18/10/22,17:24,43,10,36,VL,1,255,,,,
18/10/22,17:24,53,92,44,VL,1,256,,,,
18/10/22,17:24,59,44,50,VL,1,257,,,,
